authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand,hour,day
4573,rv_fishing._.1,32,4,2025-04-08 03:57:15+00:00,213,False,Situbondo,Kopi Janji Jiwa & Jiwa Toast - Ruko Situbondo,17,"Buruan ambil diskonnya, dari pada ke luar kota Situbondo 😜
#janjijiwa #janjijiwatoast #janjijiwacoffee #janjijiwapromo #janjijiwakopi #janjijiwasitubondo #kopijanjijiwa #kopijanjijiwasitubondo #cafejanjijiwa #fyp #fypage #fyppppppppppppppppppppppp #situbondo #situbondojawatimur #situbondohits #situbondohitz #situbondo24jam #gacoansitubondo #miegacoansitubondo ",0,https://www.tiktok.com/@rv_fishing._.1/video/7490786440238877957,32100,Janji Jiwa,3,Tuesday
10100,adi.nr12,14,2,2025-07-08 09:52:16+00:00,205,False,Depok,Kopi Janji Jiwa & Jiwa Toast - Margo City Mall,18,"Ngopi di Janji Jiwa ramah kantong pelajar atau mahasiswa!! Udah gitu legit, gak enek, dan pas banget buat nemenin nugas! Langsung tg lokasi dan serbu promonya!! #jelajahbegah #promomakanliburan #fyp #janjijiwa #janjijiwacoffee #janjijiwapromo #diskontiktok ",15,https://www.tiktok.com/@adi.nr12/video/7524646684467416376,20700,Janji Jiwa,9,Tuesday
11400,shofiiiiiaaaaa,4,3,2025-05-06 11:15:38+00:00,201,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - MKG 3,0,"Toast + kopi janji jiwa cuma 40 ribuan aja anti ribet, anti antri dan hemat pake voucher tiktok. Klaim voucher nya sekarang jangan sampai kelewatan promonya #jejaknusantara #BalapNgunyahSampaiBegah #jelajahbegah #jelajahhepi #MurahNikmatLezat #jelajahkuliner #promotiktok #kulinerku #kulinertiktok  #placestovisit #placetogojkt #fyp #rekomendasicafe #ootd  #couple  #jelajahdiskon #ngedate #dateidea #promomakangajian #makangajian #kulinerhemat #food #streetfood #jajantiktok #kulinerindonesia #janjijiwacoffee #janjijiwa #promojanjijiwa #discountjanjijiwa #diskonjanjijiwa ",36,https://www.tiktok.com/@shofiiiiiaaaaa/video/7501289502900555009,2250,Janji Jiwa,11,Tuesday
42900,iniraraaa19,30,1,2025-06-20 00:34:34+00:00,191,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Mall Citraland Jakarta,7,#tiktokgoschoolholidayfest #tiktokgo #fyppppppppppppppppppppppp #janjijiwa #janjijiwatoast #janjijiwacoffee #promo #promotiktok ,0,https://www.tiktok.com/@iniraraaa19/video/7517823434101968134,29200,Janji Jiwa,0,Friday
2294,hertianatitin,48,4,2025-05-04 04:59:15+00:00,191,False,Sumedang,Kopi Janji Jiwa & Jiwa Toast - Plaza Asia Sumedang,24,yuukkk ngopi #janjijiwacoffee #asiaplazasumedang #pyppppppppppppppppppp #urangsundabogagaya😎😅🙏 ,14,https://www.tiktok.com/@hertianatitin/video/7500450638405340424,49300,Janji Jiwa,4,Sunday
5174,wonderdoraadventure,32,1,2025-05-31 00:46:54+00:00,190,False,Pekalongan,Kopi Janji Jiwa & Jiwa Toast - Raya Kajen,19,Dii Janji Jiwa @janjijiwaid anti bokek modal 40ribu aja udah dapet toast sama kopi enak loh kalo belinya pakai voucher TikTok di video ini #janjijiwa #janjijiwatoast #janjijiwacoffee #kopi #coffee #toast #truffle #egg #cheese #coffeetiktok #promogajian #paydaysale #jelajahbegah #jelajahkuliner #kopiindonesia #indonesiancoffee #wfc #cafe #lsdagency @LSD AGENCY #CapCut ,46,https://www.tiktok.com/@wonderdoraadventure/video/7510404885683227922,47700,Janji Jiwa,0,Saturday
1401,shefinaaa,16,5,2025-02-27 03:27:20+00:00,37,False,Bogor Regency,Kopi Janji Jiwa & Jiwa Toast - Ruko Citeureup,11,Hacks ngopi di janji jiwa cuma 10k aja!! #hacks #janjijiwa #janjijiwapromo #promotiktok #coffeetiktok #jelajahkuliner #foodie #kulinertiktok #fypsound #fyp ,42,https://www.tiktok.com/@shefinaaa/video/7475935328717540613,6322,Janji Jiwa,3,Thursday
18900,cerita.makan,1,0,2025-06-22 05:58:49+00:00,1084,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Ruko Fancy Mampang,0,"Banyak promo seru jajan @janjijiwaid di tiktok, klik tag lokasi di video ini ya‼️
#TikTokGOSchoolHolidayFest  #promomakanliburan #promomakangajian #jelajahliburan #promotiktok #diskontiktok #makanhemat #jelajahkuliner #kulinerhemat #fyp #food #kuliner #kulinertiktok #jajanantiktok #promojanjijiwa #promojanjijiwatoast #promojanjijiwatiktok #janjijiwa #janjijiwatoast #janjijiwacoffee ",16,https://www.tiktok.com/@cerita.makan/video/7518649140025265464,21300,Janji Jiwa,5,Sunday
8965,anandaputri6098,14,19,2024-01-30 12:10:20+00:00,551,False,Morowali Regency,Keurea,7,"yg jauh mendekat,yg dekat mendekat 🤪😉
#keureabahodopimorowali 
#janjijiwacoffee 
#janjijiwa 
#fypシ 
#cewekbaristaoutfit 
#morowali_sulteng_bahodopi ",23,https://www.tiktok.com/@anandaputri6098/video/7329862560470109446,8929,Janji Jiwa,12,Tuesday
4246,sriyudian,18,3,2025-03-11 21:33:47+00:00,540,False,Banggai Regency,Luwuk,1,"""Hidup ini seperti secangkir kopi di mana pahit dan manis bertemu dalam kehangatan.""
miss💫
#fypシ゚viral #fypシ #captions #quotes #lewatberanda #luwukpride🏝🔥 #janjijiwacoffee ",0,https://www.tiktok.com/@sriyudian/video/7480668288393973010,6935,Janji Jiwa,21,Tuesday
