authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,shareCount,text,videoMeta/duration,webVideoUrl,playCount,brand
14000,chi2handayani,8,0,16/03/2025 12.45,105,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Sarinah,16,"Toast janji jiwa cuma 20 ribuan lho, iyaa kalo beli voucher nya di tiktok!!!

#jelajahramadan #janjijiwa #jiwatoast #janjijiwacoffee #promojanjijiwa ",16,https://www.tiktok.com/@chi2handayani/video/7482279331188706568,31900,Janji Jiwa
1403,ceritachus,30,2,08/06/2025 13.22,105,False,Depok,Kopi Janji Jiwa & Jiwa Toast - Graha Isco Sawangan,47,"Ngopi Janji Jiwa Cuma 11.500 ??
#kopijanjijiwa #janjijiwa #janjijiwatoast #janjijiwacoffee #kopisusu #kopihazelnut #icecoffee #kopi #ngopi #ngopibosss??? #janjijiwapromo #janjijiwatiktok #promojanjijiwa #promongopi #ngopimase ",36,https://www.tiktok.com/@ceritachus/video/7513460185340415237,15800,Janji Jiwa
5619,khanara_845,0,11,20/03/2022 09.02,116,False,Unknown,Unknown,51,"bukan korban ghosting,tp korban kopi,,ora turu blas smpe esuk??#OreoBantuAyah #PUBGMOBILEColor4 #RedoxonKids #janjijiwacoffee",15,https://www.tiktok.com/@khanara_845/video/7076996819816926490,478,Janji Jiwa
4432,eka.ayu10,6,9,20/05/2025 10.11,54,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Kramat Jaya Koja,6,"Disini tempatnya cozy banget cocok buat wfc guys

??Janji Jiwa Kramat Jaya Koja 

#InfoPromo #PromoTiktok #JelajahKuliner #VoucherDiskon #lsdagency  @LSD AGENCY #janjijiwa #coffee ",26,https://www.tiktok.com/@eka.ayu10/video/7506360118351498502,1947,Janji Jiwa
182,janjijiwakisaran984,4,8,27/01/2025 21.35,73,False,Unknown,Unknown,9,"namanya masih pemula kak,maafin ya??????#jiwatoast #foryoupageofficiall #janjijiwacoffee #baristalife #asahanpunyacerita #fypage ",15,https://www.tiktok.com/@janjijiwakisaran984/video/7464603914378202386,12800,Janji Jiwa
13400,oreyosoftcake,4,1,10/06/2025 08.28,106,False,Grobogan Regency,Kopi Janji Jiwa & Jiwa Toast - Hayam Wuruk Purwodadi,4,#janjijiwa #janjijiwacoffee #janjijiwapromo #janjijiwatiktok #kulinerpurwodadi #kulinerpurwodadigrobogan #kulinerpurwodadiviral #kulinerpurwodadifyp #kulinerpurwodadi?????? #kulinerpurwodadirecommended #kulinerpurwodadihitz ,9,https://www.tiktok.com/@oreyosoftcake/video/7514126523713015048,14800,Janji Jiwa
13300,a.k.a.zenalkun,1,0,19/07/2025 21.54,18,False,Cianjur,Kopi Janji Jiwa & Jiwa Toast - Cianjur Arief Rahman,0,#janjijiwa #coffee #coffe #kopi #kopijanjijiwa #cianjur #cianjurjawabarat #jawabarat ,20,https://www.tiktok.com/@a.k.a.zenalkun/video/7528806418984537400,3577,Janji Jiwa
2181,fabychela,7,2,04/05/2025 19.15,78,False,Surabaya,Kopi Janji Jiwa & Jiwa Toast - Jaksa Agung Suprapto,1,"??Beli kopi di Janji Jiwa cuma 10 ribuan aja ??????

Klik tag location yg ada di video aku??????

#janjijiwacoffee #janjijiwa #promojanjijiwa #janjijiwapromo #kuliner #kulinertiktok #ttpetualangpro #kulinerindonesia #kulinerviral ",40,https://www.tiktok.com/@fabychela/video/7500563177797618952,7770,Janji Jiwa
5061,aggnezh.indrajingga_,0,3,18/04/2021 14.23,344,False,Unknown,Unknown,0,#LegionChallenge #BetterMoodExpression #powerAwesome #fyp #fyp? #foryou #foryourpage #fypdong #kopi #janjijiwa #janjijiwaid #janjijiwacoffee #coffee,14,https://www.tiktok.com/@aggnezh.indrajingga_/video/6952395059497159938,593,Janji Jiwa
3998,vouchertiktok1,0,0,20/05/2025 20.04,2,False,Jakarta,Kopi Janji Jiwa & Jiwa Toast - Pulomas Barat,1,"""Saatnya ngopi hemat bareng Janji Jiwa, diskon spesial menanti!""

#janjijiwatoast #janjijiwacoffee #pulomasbarat #promogajian #jelajahbegah ",16,https://www.tiktok.com/@vouchertiktok1/video/7506513018184912146,316,Janji Jiwa
15,janjijiwapku,0,1,04/04/2024 17.03,4,False,Pekanbaru,FUNWORLD Living World Pekanbaru,0,"#livingworldpekanbaru 
#janjijiwa 
#coffee 
#pekanbaru_riau ",17,https://www.tiktok.com/@janjijiwapku/video/7353950296273390853,3480,Janji Jiwa
600,momsan232,3,4,12/07/2025 20.23,69,False,Kota Karawang,Kopi Janji Jiwa & Jiwa Toast - IR Juanda Karawang,3,"#janjijiwacoffee 
#cikampek 
#coffeetiktok ",22,https://www.tiktok.com/@momsan232/video/7526185442467745031,7869,Janji Jiwa
1073,putu_ambare,1,0,04/08/2025 15.09,8,False,Purworejo,Kopi Janji Jiwa & Jiwa Toast - Ruko Mayjen Soetoyo Purworejo,1,banyak promo di lokasi yang aku tag #janjijiwa #purworejo #kopijanjijiwa #janjijiwatoast #janjijiwacoffee #purworejo24jam ,34,https://www.tiktok.com/@putu_ambare/video/7534639540431113528,360,Janji Jiwa
